charges,Erin_charges,Count,Craig_charges,Craig_edit,2C_added
2C:12-1B,2C:12-1B,822,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
SIMPLE ASSAULT,SIMPLE ASSAULT,791,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
2C:35-10A(1),2C:35:10A(1),760,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:12-1A,2C:12-1A,720,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
2C:29-2A(3),2C:29-2A(3),707,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2A(3)(A),2C:29-2A(3)A,685,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2 RESISTING ARREST,RESISTING,665,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2B,2C:29-2B,630,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:12-1A(1),2C:12-1A(1),619,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,583,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
2C:29-2A(2),2C:29-2A(2),583,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:36-2,2C:36-2,573,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:35-10A(4),2C:35-10(A)(4),523,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
BURGLARY,BURGLARY,504,BURGLARY,BURGLARY,BURGLARY
2C:17-3,2C:17-3,442,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
DWI,DWI,421,DWI,DWI,DWI
ELUDING,ELUDING,414,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
ILLEGIBLE,ILLEGIBLE,408,ILLEGIBLE,ILLEGIBLE,ILLEGIBLE
2C:12-13,2C:12-13,404,AGG ASSAULT: THROWING BODILY FLUID AT POLICE,AGG ASSAULT: THROWING BODILY FLUID AT POLICE,AGG ASSAULT: THROWING BODILY FLUID AT POLICE
2C:12-1B(5)A,2C:12-1B(5)(A),390,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
OBSTRUCTING,OBSTRUCTING,387,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2,2,376,ND,ND,ND
AGG. ASSAULT,AGG ASSAULT,372,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
ROBBERY,ROBBERY,360,ROBBERY,ROBBERY,ROBBERY
2C:12-1B5A,2C:12-1B(5)(A),352,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:39-4D,2C:39-4D,347,POSSESSION OF WEAPONS FOR UNLAWFUL PURPOSES,POSSESSION OF WEAPONS FOR UNLAWFUL PURPOSES,POSSESSION OF WEAPONS FOR UNLAWFUL PURPOSES
OBSTRUCTION OF JUSTICE,OBSTRUCTION OF JUSTICE,343,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:12-1B(5),2C:12-1(B)(5),337,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
ASSAULT,ASSAULT,322,ASSAULT,ASSAULT,ASSAULT
HINDERING,HINDERING,315,HINDERING,HINDERING,HINDERING
POSSESSION OF CDS,POSSESSION OF CDS,314,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:35-10,2C:35-10,309,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:12-1,2C:12-1,307,SIMPLE ASSAULT,ASSAULT,ASSAULT
2C:35-7,2C:35-7,306,"DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL","DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL","DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL"
2C:29-1B,2C:29-1B,294,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:33-2 DISORDERLY CONDUCT,2C:33-2 DISORDERLY CONDUCT,271,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:39-5D,2C:39-5D,271,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
2C:29-2(A),2C:29-2A,265,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
TERRORISTIC THREATS,TERRORISTIC THREATS,259,TERRORISTIC THREATS,TERRORISTIC THREATS,TERRORISTIC THREATS
2C:29-2A1,2C:29-2A(1),256,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
3,3,255,ND,ND,ND
2C:12-3,2C:12-3,248,TERRORISTIC THREATS,TERRORISTIC THREATS,TERRORISTIC THREATS
2C:29-9,2C:29-9,237,CONTEMPT,CONTEMPT,CONTEMPT
2C:39-5B,2C:39-5B,233,UNLAWFUL POSSESSION OF HANDGUN,UNLAWFUL POSSESSION OF HANDGUN,UNLAWFUL POSSESSION OF HANDGUN
2C:35-5,2C:35-5,230,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS
2C:33-2A(2),2C:33-2A(2),229,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:35-10A1,2C:35:10A(1),229,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:12-3B,2C:12-3(B),227,TERRORISTIC THREATS,TERRORISTIC THREATS,TERRORISTIC THREATS
THEFT,THEFT,222,THEFT,THEFT,THEFT
SHOPLIFTING,SHOPLIFTING,221,SHOPLIFTING,SHOPLIFTING,SHOPLIFTING
2C:17-3A(1),2C:17-3A(1),219,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
IMPROPER BEHAVIOR,IMPROPER BEHAVIOR,217,IMPROPER BEHAVIOR,IMPROPER BEHAVIOR,IMPROPER BEHAVIOR
HARASSMENT,HARASSMENT,210,HARRASSMENT,HARASSMENT,HARASSMENT
AGGRAVATED ASSAULT ON POLICE OFFICER,AGGRAVATED ASSAULT ON POLICE OFFICER,202,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
CDS,CDS,201,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:33-2B,2C:33-2B,194,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:18-2,2C:18-2,192,BURGLARY,BURGLARY,BURGLARY
2C:29-3,2C:29-3,192,HINDERING,HINDERING,HINDERING
2C:35-10A,2C:35-10A,192,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
1,1,185,ND,ND,ND
2C:39-5,2C:39-5,182,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
2C:29-2A(3)(B),2C:29-2(A)(3)(B),178,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-3B(4),2C:29-3(B)4,176,HINDERING,HINDERING,HINDERING
2C:18-3B,2C:18-3(B),172,TRESPASSING,DEFIANT TRESPASSING,DEFIANT TRESPASSING
2C:12-1B(1),2C:12-1(B)(1),168,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
ASSAULT AGGRAVATED,AGG ASSAULT,167,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
AGGRAVATED ASSAULT ON POLICE,AGGRAVATED ASSAULT ON POLICE,166,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:33-2A1,2C:33-2A(1),164,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:12-1B AGGRAVATED ASSAULT,AGG ASSAULT,160,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
2C:35-5B(3),2C:35-5(B)3,159,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS
CONTEMPT,CONTEMPT,156,CONTEMPT,CONTEMPT,CONTEMPT
POSS OF CDS,POSS CDS,154,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
POSS CDS,POSS CDS,154,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
4,4,152,ND,ND,ND
2C:18-2A(1),2C:18-2A(1),150,BURGLARY,BURGLARY,BURGLARY
2C:12-3A,2C:12-3A,148,TERRORISTIC THREATS,TERRORISTIC THREATS,TERRORISTIC THREATS
2C:35-10A4,2C:35-10(A)(4),145,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
ASSAULT ON POLICE,ASSAULT ON POLICE,139,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:39-4,2C:39-4,138,POSSESSION OF WEAPONS FOR UNLAWFUL PURPOSES,POSSESSION OF WEAPONS FOR UNLAWFUL PURPOSES,POSSESSION OF WEAPONS FOR UNLAWFUL PURPOSES
2C:20-7,2C:20-7,138,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY
2C:20-7A,2C:20-7A,134,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY
2C:20-11,2C:20-11,134,SHOPLIFTING,SHOPLIFTING,SHOPLIFTING
2C:20-3A,2C:20-3A,134,THEFT,THEFT,THEFT
OBSTRUCTION/RESISTING,OBSTRUCTION/RESISTING,133,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
2C:36-6,2C:36-6,133,POSSESSION OR DISTRIBUTION OF HYPODERMIC SYRINGE,POSSESSION OR DISTRIBUTION OF HYPODERMIC SYRINGE,POSSESSION OR DISTRIBUTION OF HYPODERMIC SYRINGE
WARRANT,WARRANT,133,WARRANT ARREST,WARRANT ARREST,WARRANT ARREST
2C:29-9B,2C:29-9B,131,CONTEMPT,CONTEMPT,CONTEMPT
DISORDERLY/RESISTING,DISORDERLY/RESISTING,130,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
2C:33-4,2C:33-4,128,HARASSMENT,HARASSMENT,HARASSMENT
DISORDERLY PERSON,DISORDERLY PERSON,127,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
2C:12-1B(2),2C:12-1B(2),125,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
MULTIPLE,MULTIPLE,125,ND,ND,ND
29-2,29-2,125,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:29-2A(3)A,2C:29-2A(3)A,124,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
29-2A,29-2A,124,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:33-2(A),2C:33-2A,122,DISORDERLY CONDUCT,DISORDERLY CONDUCT,DISORDERLY CONDUCT
TRESPASSING,TRESPASSING,119,TRESPASSING,TRESPASSING,TRESPASSING
RESISTING BY FLIGHT,RESISTING BY FLIGHT,118,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
RESIST ARREST,RESIST ARREST,116,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:15-1,2C:15-1,115,ROBBERY,ROBBERY,ROBBERY
2C:18-3,2C:18-3,115,TRESPASSING,TRESPASSING,TRESPASSING
RESIST,RESISTING,114,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
DUI,DUI,113,DUI,DUI,DUI
2C:12-1B5,2C:12-1(B)(5),112,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:35-10B,2C:35-10B,112,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:18-3A,2C:18-3A,112,TRESPASSING,TRESPASSING,TRESPASSING
5,5,109,ND,ND,ND
DISORDERLY CONDUCT/RESISTING ARREST,DISORDERLY & RESISTING,108,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
AGGRAVATED ASSAULT ON A POLICE OFFICER,AGGRAVATED ASSAULT ON A POLICE OFFICER,106,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:39-4A,2C:39-4A,103,POSSESSION OF FIREARM FOR UNLAWFUL PURPOSES,POSSESSION OF FIREARM FOR UNLAWFUL PURPOSES,POSSESSION OF FIREARM FOR UNLAWFUL PURPOSES
2C:29-1 OBSTRUCTION,2C:29-1 OBSTRUCTION,102,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
ANY LAW ENFORCEMENT,ANY LAW ENFORCEMENT,100,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:33-15,2C:33-15,100,UNDERAGE DRINKING,UNDERAGE DRINKING,UNDERAGE DRINKING
2C:29-2A3,2C:29-2A(3),99,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
POSS OF WEAPON,POSS OF WEAPON,97,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
2C:12-1B.5A,2C:12-1B(5)(A),95,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:17-3A,2C:17-3A,95,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
2A:10-1C,2A:10-1C,91,CONTEMPT,CONTEMPT,CONTEMPT
CONTEMPT OF COURT,CONTEMPT OF COURT,91,CONTEMPT,CONTEMPT,CONTEMPT
2C:18-3B(1),2C:18-3B(1),90,TRESPASSING,DEFIANT TRESPASSING,DEFIANT TRESPASSING
DRIVING WHILE UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE,90,DWI,DWI,DWI
2C:12-1A1,2C:12-1A(1),90,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
2C:20-11B(1),2C:20-11(B)1,89,SHOPLIFTING,SHOPLIFTING,SHOPLIFTING
2C:35-7.1,2C:35-7(1),88,"DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL","DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL","DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL"
PROTECTIVE CUSTODY,PROTECTIVE CUSTODY,84,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY
2C:29-2A3A,2C:29-2A(3)A,83,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:33-4A,2C:33-4A,81,HARASSMENT,HARASSMENT,HARASSMENT
2C:29-2A2,2C:29-2A(2),81,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:15-1A(1),2C:15-1(A)1,80,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
2C:29-1(A),2C:29-1(A),80,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
WARRANTS,WARRANTS,80,WARRANT ARREST,WARRANT ARREST,WARRANT ARREST
DISTRIBUTION OF CDS,DISTRIBUTION OF CDS,78,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS
2C:28-6(1),2C:28-6(1),78,TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE,TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE,TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE
RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,77,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY
2C:28-6,2C:28-6,76,TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE,TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE,TAMPERING WITH OR FABRICATING PHYSICAL EVIDENCE
2C:12-1(B),2C:12-1B,75,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
DISORDERLY CONDUCT RESISTING ARREST,DISORDERLY & RESISTING,74,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
2C:33-4B,2C:33-4B,74,HARASSMENT,HARASSMENT,HARASSMENT
OBSTRUCTING ADMINISTRATION OF LAW,OBSTRUCTING ADMINISTRATION OF LAW,71,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:20-11B,2C:20-11B,71,SHOPLIFTING,SHOPLIFTING,SHOPLIFTING
29-1,29-1,70,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
DEFIANT TRESPASS,DEFIANT TRESPASS,69,TRESSPASSING,DEFIANT TRESPASSING,DEFIANT TRESPASSING
2C:29-3B,2C:29-3B,68,HINDERING,HINDERING,HINDERING
2C:20-3,2C:20-3,68,THEFT,THEFT,THEFT
2C:39-7,2C:39-7,67,CERTAIN PERSONS NOT TO HAVE WEAPONS ,CERTAIN PERSONS NOT TO HAVE WEAPONS ,CERTAIN PERSONS NOT TO HAVE WEAPONS 
OBSTRUCTION/RESISTING ARREST,OBSTRUCTION/RESISTING ARREST,66,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
2C:12-1B5(A),2C:12-1B(5)(A),65,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
ASSAULT ON LAW ENFORCEMENT OFFICER,ASSAULT ON LAW ENFORCEMENT OFFICER,65,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
ASSAULT ON POLICE OFFICER,ASSAULT ON POLICE OFFICER,65,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:12-1B(5A),2C:12-1B(5)(A),64,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
CRIMINAL TRESPASS,CRIMINAL TRESPASS,64,TRESSPASSING,TRESPASSING,TRESPASSING
POSS,POSS,63,ND,ND,ND
ASSAULT AGG ON POLICE NO WEAP,ASSAULT AGG ON POLICE NO WEAP,62,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
POSSESSION CDS,POSS CDS,62,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:12-1(A),2C:12-1A,62,SIMPLE ASSAULT,SIMPLE ASSAULT,SIMPLE ASSAULT
WARRANT ARREST,WARRANT ARREST,62,WARRANT ARREST,WARRANT ARREST,WARRANT ARREST
2A:10-1,2A:10-1,60,CONTEMPT,CONTEMPT,CONTEMPT
DISORDERLY / RESISTING,DISORDERLY & RESISTING,60,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER,DISORDERLY CONDUCT & RESISTING ARREST/ELUDING OFFICER
HINDERING APPREHENSION,HINDERING APPREHENSION,60,HINDERING,HINDERING,HINDERING
OBSTRUCT,OBSTRUCT,60,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:29-2(A)1,2C:29-2A(1),60,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
AGG,AGG,59,AGG ASSAULT,AGG ASSAULT,AGG ASSAULT
ELUDING POLICE WITH MOTOR VEHICLE,ELUDING POLICE WITH MOTOR VEHICLE,58,ELUDING POLICE WITH MOTOR VEHICLE,ELUDING POLICE WITH MOTOR VEHICLE,ELUDING POLICE WITH MOTOR VEHICLE
ESCAPE,ESCAPE,58,ESCAPE,ESCAPE,ESCAPE
ELUDING OFFICER,ELUDING OFFICER,57,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER,RESISTING ARREST/ELUDING OFFICER
2C:35-7.1A,2C:35-7.1A,56,"DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL","DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL","DISTRIBUTION OF CDS ON OR WITHIN 1,000 FEET OF SCHOOL"
OBSTRUCT ADMIN OF LAW,OBSTRUCT ADMIN OF LAW,56,OBSTRUCTION,OBSTRUCTION,OBSTRUCTION
2C:33-4C,2C:33-4C,55,HARASSMENT,HARASSMENT,HARASSMENT
PENDING,PENDING,55,PENDING,PENDING,PENDING
POSSESSION OF A WEAPON,POSSESSION OF A WEAPON,55,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
2C:12-11A,2C:12-11A,54,DISARMING LAW ENFORCEMENT,DISARMING LAW ENFORCEMENT,DISARMING LAW ENFORCEMENT
2C:29-5A,2C:29-5A,54,ESCAPE,ESCAPE,ESCAPE
39:4-50 DWI,39:4-50 DWI,53,DWI,DWI,DWI
OBSTRUCTION AND RESISTING ARREST,OBSTRUCTION AND RESISTING ARREST,53,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER,OBSTRUCTION & RESISTING ARREST/ELUDING OFFICER
2C:33-15A,2C:33-15A,53,UNDERAGE DRINKING,UNDERAGE DRINKING,UNDERAGE DRINKING
POSS WEAPON,POSS WEAPON,53,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS,UNLAWFUL POSSESSION OF WEAPONS
2C:12-1B(5)A AGGRAVATED ASSAULT ON LAW ENFORCEMENT,2C:12-1B(5)A AGGRAVATED ASSAULT ON LAW ENFORCEMENT,52,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
2C:12-1B(5)A AGGRAVATED ASSAULT ON A POLICE OFFICER,2C.12-1B(5)A AGG ASSAULT ON PO,52,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE,AGG ASSAULT ON POLICE
IMPROPER,IMPROPER,52,IMPROPER BEHAVIOR,IMPROPER BEHAVIOR,IMPROPER BEHAVIOR
6,6,52,ND,ND,ND
2C:5-5,2C:5(5),50,2C:5(5),2C:5(5),2C:5(5)
2C:33-1,2C:33-1,49,2C:33-1,2C:33-1,RIOT; FAILURE TO DISPERSE
2C:5-1A(1),2C:5-1A(1),48,2C:5-1A(1),2C:5-1A(1),CRIMINAL ATTEMPT
2C:20-11B(2),2C:20-11(B)(2),48,SHOPLIFTING,SHOPLIFTING,SHOPLIFTING
SIMPLE ASSAULT (DV),SIMPLE ASSAULT (DV),48,,SIMPLE ASSAULT (DV),SIMPLE ASSAULT (DV)
2C:35-5A(1),2C:35-5A(1),47,2C:35-5A(1),2C:35-5A(1),DISTRIBUTION OF CDS
DEFIANT TRESPASSING,DEFIANT TRESPASSING,46,DEFIANT TRESPASSING,DEFIANT TRESPASSING,DEFIANT TRESPASSING
2C:35-5B3,2C:35-5(B)3,46,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS,DISTRIBUTION OF CDS
POSS. CDS,POSS CDS,46,POSSESION OF CDS,POSSESSION OF CDS,POSSESSION OF CDS
2C:12-1B(5)(C),2C:12-1(B)5C,45,AGG ASSAULT ON EMS,AGG ASSAULT ON EMS,AGG ASSAULT ON EMS
2C:17-3B(2),2C:17-3(B)(2,45,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF
